Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm)
ZIKV-PR,044-103,118,73,187,30.85,31.89,,31.37,42.88,42.99,,42.94,155.39,157.47,,156.43,129.02,131.09,,130.055
ZIKV-PR,044-103,125,80,204,32.86,32.02,,32.44,44.35,44.64,,44.50,164.09,166.87,,165.48,141.6,134.73,,138.165
ZIKV-PR,044-103,132,87,186,36.74,36.03,,36.385,45.25,45.5,,45.38,169.28,170.67,,169.98,143.45,142.9,,143.175
ZIKV-PR,044-103,139,94,180,39.17,39.2,,39.185,46.16,46.98,,46.57,171.90,173.05,,172.48,151.54,147.53,,149.535
ZIKV-PR,044-103,143,98,176,40.66,40.68,,40.67,47.75,47.4,,47.58,174.48,174.47,,174.48,138.48,146.21,,142.345
ZIKV-PR,044-103,153,108,184,43.61,43.46,,43.535,48.26,48.31,,48.29,181.45,180.77,,181.11,144.36,148.28,,146.32
ZIKV-PR,044-102,39,-6,,,,,,,,,,,,,,,,,
ZIKV-PR,044-102,46,1,187,,,,,,,,,,,,,,,,
ZIKV-PR,044-102,53,8,203,,,,,,,,,,,,,,,,
ZIKV-PR,044-102,62,17,198,,,,8.78,,,,19.59,,,,66.43,,,,52.82
ZIKV-PR,044-102,69,24,196,,,,,,,,25.48,,,,90.02,,,,
ZIKV-PR,044-102,76,31,175,13.51,14.09,,13.51,26.26,26.9,,26.58,91.52,92.02,,91.77,80.92,83.78,,80.92
ZIKV-PR,044-102,83,38,198,16.8,16.34,,16.57,31.47,32.61,,32.04,110.10,112.40,,111.25,87.98,87.55,,87.765
ZIKV-PR,044-102,90,45,200,19.15,19.54,,19.345,34.81,34.57,,34.69,121.01,118.90,,119.96,103.32,105.91,,104.615
ZIKV-PR,044-102,97,52,187,12.71,22.14,22.14,18.99666667,35.86,36.28,,36.07,134.70,36.28,,85.49,105.82,111.46,,108.64
ZIKV-PR,044-102,104,59,189,26.49,26.51,,26.5,39.63,40.46,,40.05,138.30,143.03,,140.67,112.17,119.97,120.37,117.5033333
ZIKV-PR,044-102,111,66,207,27.57,28.15,,27.86,41.63,41.17,,41.40,151.90,150.99,,151.45,122.74,123.52,,123.13
ZIKV-PR,044-102,118,73,182,30.47,30.98,,30.725,44.7,43.4,,44.05,167.72,165.53,,166.63,123.82,126.33,,125.075
ZIKV-PR,044-102,125,80,185,33.41,32.46,,32.935,48.22,47.62,,47.92,174.53,173.05,,173.79,142.57,135.89,,139.23
ZIKV-PR,044-102,132,87,182,35.56,35.67,,35.615,47.5,48.18,,47.84,174.48,173.46,,173.97,136.97,135.71,,136.34
ZIKV-PR,044-102,136,91,171,38.67,39.91,,39.29,47.53,48.68,,48.11,182.95,181.45,,182.20,151.61,145.77,,148.69
ZIKV-PR,044-102,146,101,188,40.25,40.17,,40.21,51.1,50.53,,50.82,181.11,180.94,,181.03,164.34,154.89,,159.615
ZIKV-PR,044-102,153,108,188,41.47,41.43,,41.45,51.56,50.64,51.23,51.14,187.91,187.70,182.85,186.15,162.02,167.46,,164.74
ZIKV-PR,044-101,42,-6,177,,,,,,,,,,,,,,,,
ZIKV-PR,044-101,49,1,191,,,,,,,,,,,,,,,,
ZIKV-PR,044-101,58,10,184,3.87,4.73,,4.3,,,,,,,,,50.11,49.62,,49.865
ZIKV-PR,044-101,65,17,194,8.55,7.89,,8.22,20.93,21.1,,21.02,74.51,72.45,,73.48,58.42,57.81,,58.115
ZIKV-PR,044-101,72,24,184,11.41,11.04,,11.225,24.11,24.18,,24.15,84.09,83.67,,83.88,70.08,69.95,,70.015
ZIKV-PR,044-101,79,31,202,14.13,14.22,,14.175,27.09,27.21,,27.15,96.06,96.93,,96.50,83.32,84.32,,83.82
ZIKV-PR,044-101,86,38,182,17.54,18.74,,18.14,28.59,28.63,,28.61,108.15,106.36,,107.26,94.9,96,,95.45
